src_lang,tgt_lang,eng_translated,hit_translated
GIŠḫišša-,carriage pole,GIŠulāli-,piece of cloth; (+ SAG.DU-aš) (woman
tepšu- / tepšaw-,something little; some kind of (by-product of) grain (comparable to malt) that does not yield any plant,šak (k) uni-,tepšaw
talūga,long,*taluki- / talugai-,taluk (id.
(UZU)parku(i) ḫaštāi,pure-bone,UZUdānašti-,bone (s); (metaphorically) strength; a measure of length (GÌR.PAD.DU)
annal(l)a/i-,"former, earlier, old",anna-,mother
nana(n)kušš(iye/a)-zi,"to be(come) dark, obscure, gloomy",dankuēšš-zi,"to place, to plant; to set up"
kappa-zi,"to diminish, to reduce",tepnu-zi,"to scout, to reconnoitter"
ištanzan-,"soul, spirit, mind",(LÚ) aršar / aršn-,half-life
handas,postpos.,iwar,"to strike, hit (without -kan); to kill (with -kan) (Akk."
katta,to put down; to throw down; to submit.,hattāi,to send down; to bannish.
išḫai-i / išḫi-,"to bind, to wrap; to obligate with, to impose upon",wišuriye/a-zi,to lick (up)
natta,adv.,nūwān,"master, lord (id."
mekkayaz,"on many occasions, often",mašiyant-,"to become friendly, peaceful, tolerate each other; to quarrel with each other."
ḫāranili,in eagle-fashion,āra-,in the languages of the Zoroastrian
sāktāi,to nurse back to health.,irma,"to do, create, produce, realize; to father; to celebrate (a feast); to heal (with a ritual) (id."
arahza,adv.,nūwān,adv.
parnili,?,palkuiye/a- (tt) a (ri),adv.
pariyan,adv.,nūwān,"across, over, beyond; over to, across to; in opposition to; in front"
pē,here (§144).,anni,to go; − to pass (for the time); − to run its course (for a legal matter).
parā,to do a miracle.,miracle,"out (to), forth, toward"
dammešḫanu-zi,to make punish,karšanu-zi,to damage
ḫarnāi-,"tree-sap, resin (?)",URUDU/GIŠtēkan,birthing chair
to,"to go down, go to s.",down,to keep on; to go out.
tarup,"to gather, get together, collect.",taruppāi,"to collect, collect."
idālawatar,"evil, nastiness (id.",kusduwātar,"badness, evil disposition."
tuškaratt-,"happiness, entertainment",dušgariyatar / dušgariyann-,starvation
melteššar / meltešn-,votive offering,LÚilammar / LÚilamn-,administration
handandatar,miracle.,hilammar,adv.
aniūr,"prestation, ritual",aniyauwar,adv.
uktūri,"firm, steady, constant, eternal",uktūri-,"constant, stable."
ariyašeššar / ariyašešn-,oracle,ariyatar / ariyann-,"(act.) to be (come) present, to occur (intr.); to be present, to occur (intr.); to occur (intr.); to occur (intr.); to occur (intr.); to occur (intr.); to occur (intr.); to occur (intr.); to occur (intr.); to occur (intr.)"
šākiye/a-zi,"to give a sign, to give an omen; to reveal; to exemplify",šakiya-i,"to attack, to press upon, to pester"
warša-,"fog, mist",(NINDA) neku-,"to reap, to harvest, to wipe"
lāp-zi / lapp-,"to glow, to flash",lap (pa) nu-zi,to lap
*piyatar / piyiann-,giving,maniyaa-,"all, entire, complete; every; general"
LÚmayant,man (adult).,LÚšan,leader.
wekuwar,demand.,dammesha,grass (war).
taišzi-,hay-barn,aššar / aššar,(ingredients of) medicine
sankuwāi,fingernail (id.,watar,to know; to recognize.
É šiyannaš,treasury (house of sealing),āššarwātar / āššarwann-,"to work, to be done"
muwat(t)allaḫit-,the king,aššu-,"anguish, worry, misery"
ḫalki-,barley; grain,(GIŠ) aršar / aršn-,"grain, cereal; field of cereal"
(DUMU.MUNUS)šuppi(e)ššara-,purified woman,šuppiyatar / šuppiyann-,dough-holder
uwai,worry.,werites,to see.
pittai-i / pitti-,to run; to flee,pattai-i / patti-,"to run, to race; to flee; to fly"
maniyahhatar,"administration, management.",maniya,administration.
uliliya,"to grow, blossom.",māi,to reconcile.
māša-,"locust, swarm of locusts",(GIŠ) uk (t) alla-,"alcoholic beverage, alcoholic beverage"
ḫarpal(l)i-,"heap, stack, pile",arpa-,"to turn upside down, to lift off, to pluck, to harvest"
wašku(i)-,"offense, sin",waštai-,"to be (come) afraid, to be respectful, to be careful"
palhi,wide.,palhessar,width.
GIŠmūkar / mukn-,rattle,paprēššar / paprešn-,"storage receptacle, pithos"
ḫalzai-i / ḫalzi-,"to cry out, to shout, to call (trans.), to invoke, to recite",ārku-i / arku-,"to cry out, to call"
marsah,"to rot, spoil.",marsah,spoiled.
zaḫanettienna-,?,palkuiye/a- (tt) a (ri),"battle, war"
"(LÚ)patteyantili, (LÚ)pattiyantili",in the manner of a fugitive,LÚpatteyant-,"subordinate (to), subordinate (to)"
lūwili,adv.,nūwān,"lūya- ""to behold"" (§ lūya- ""to behold"" (§11)."
kartimmiēšš-zi,to become angry,karp (iye/a) -tta (ri),to be angry
ḫattaḫḫ-i,"to make clever, to instruct",attanu-zi,"to batter, to bash, to crack"
ḫurkil-,perversity,išaššarwātar / išaššarwann-,"raw, ground-food"
anturiya-,"interior, native",karšatar / karšann-,storm-cloud
"armaniye/a-tta(ri), ermaniye/a-tta(ri)",to be(come) ill,irmaliyēšš-zi,"to mount, to insert, to insert, to insert, to insert, to insert, to insert, to insert, to insert, to insert, to insert, to insert, to insert, to insert, to insert"
tešḫaniye/a-zi,to appear in a dream,"tešši-a (ri), tešši-a (ri)",to sleep
mum(m)uwai-,?,palkuiye/a- (tt) a (ri),running in teams of fours (?)
wett,year (§76; id.,siwatt,wett.
arša(r)šur-,"flowing, stream",āršanu-,"to swallow, to grab, to pick up"
"šar-(tt)a(ri), šariye/a-zi","to embroider(?), to sew on(?); to truss(?) / sew(?) up",šad (iye/a) -zi,to be (come) afraid; to show respect (for a deity)
isiyahhiskattalla,scout.,LÚsapasalli,isth.
piḫam(m)i-,"powerful, strong",piaim (m) i-,"to melt (away), to dissolve, to stew or cook until tender; to heat up (?), to bring to a boil (?)"
nakkuššēšš-zi,to be(come) a scapegoat,nakkuššiye/a-zi,to become important; to become troublesome to
lengāi,oath (Akk.,kangur,to lengthen.
lūriyatar,"disgrace, humiliation","maršaštarra/i-, marzaštarra-","praise, fame."
ištar(k)-zi,"to ail, to afflict",ištarni (n) k-zi,"to sting, to stab, to pierce; to stick (to)"
appašiwatt-,future,āššarwātar / āššarwann-,"father, son-in-law"
pararaḫḫ-i,to chase(?),paruwar,"to chase, to pursue, to hunt; to expel; (+ ZI'spirit"
walli-,pride(?),šarku-,thigh (-bone) (?)
"(GIŠ)palzaḫ(ḫ)a-, (GIŠ)palzašḫa-","pedestal, a flat base for statues",aššuššar / aššušn-,"crook, crozier, lituus"
marra- or marri-,(sun)light,ullanzeššar / ullanzešn-,within a glimpse (?)
isduwa,"to become famous, well-known.",šarlaimma,to eat to one's fill.
šupp(a)l(a)-,cattle,aššuššar / aššušn-,"dream, sleep"
dariyanu-zi,"to tire, to make tired",tariya-i,to dishonor (?)
arawaḫḫ-i,"to make free, to release",arawāi-i / arawann-,"to raise, to bring up; to exalt, to magnify; to.... emphatically"
kāri,to grant.,sarku,"back, last (§131ff)."
šani-,"the same, one and the same",=iša/i-,they (pl.)
walk(iye/a)-zi,?,palkuiye/a- (tt) a (ri),"to walk, to go stand, to place oneself, to set in"
"šakkar, zakkar / šakn-","excrement, dung, faeces",šak (k) uēššar / šak (k) uēšn-,"oil, fat"
walḫeššar / walḫešn-,"strike, blow",šarāzziyatar / šarazziyann-,"felling, curse"
genzuwala-,kindhearted,takšul (l) i-,"friendly, kind (Akk."
parkuwantariye/a-zi,to be(come) pure(?),parkuēšš-zi,"(act.) to make clean, to clear (up); (midd.) to be (come) pure"
kattera-,"lower, inferior; infernal; farther along",katterezzi-,inferior
neka-,sister,*nekatar,neck
ḫaneššar / ḫannešn-,"law-suit, case, trial",aniyauwar,"fortification, stronghold"
(UZU)iškiš-,"back, backside, rear",appezzi (ya) -,"arse, anus"
kup,"to intend, plan.",piran,to comb.
kuriwana,"independant, autonomous.",huitēššar,curse.
tarsik,"to talk again, proclaim (§22b.",bolāi,"to become tired, tired."
genušrinu-zi,to make kneel,alinu-zi,to kneel
alwanzessar,"witchcraft, magic.",alwanzatar,efficiency.
natta,not,le,"master, lord (id."
sek,cf.,app,to know; to recognize.
dariyanu,to call.,halz,"to feed (intr.), feed (intr.), feed (intr.); to feed (intr.); to feed (intr.); to feed (intr.); to feed (intr.); to feed (intr.)"
(LÚ)mayant-,"young, adult man, (adj.) adult, powerful",(LÚ) mayant-,"young adulthood, youth, youthful vigor"
karš(iye/a)-zi,"to cut (off), to separate; to stop",tuuš-a (ri),"to cut off, to separate"
iššalli-,spittle,papparš-,"stout, brave, heroic"
šeš-zi / šaš-,"to sleep, to rest, to lie down",šaš (ša) nu-zi,to be (copula); to be present
"weritanu-zi, weritenu-zi",to scare,atuganu-zi,"to fear, to be frightened"
ḫargnu-zi,to make white,arkiyanu-zi,to sprinkle
nanankuššiya-,"dark, obscure",dankui- / dankuwai-,"fortified, lofty, elevated"
wiwisk,to be in labour.,labour,"iterative of wiya- ""to lament"" (§168)."
kunna-,"right (hand or side); right, favourable, succesfull",šannapili-,"right, proper (ly)"
ma-zi,to disappear,mimma-i / mimm-,"to grow (up); to thrive, to prosper"
malai-i / mali-,"to approve, to approve of",mā̆lae-zi,"to spend, to spend"
šakuwantariye/a-zi,"to stay, to remain, to rest; to be neglected, to be unvisited, to be untended, to be uncelebrated",āšš-tta (ri),"to hide, to sneak away"
arrūsa,to go.,pai,adv.
mekki,"much, many.",ammiyant,"greatly, much. in large numbers, very"
lūri-,"loss of honour, disgrace, humiliation; financial loss; shortage(?)",nakkušša-,"abundance, prosperity"
laḫḫuēššar / luaḫḫuēšn-,pouring cup,(GIŠ) zeriyalli-,"fortification, stronghold"
dāi,"to sit, lay, put.",isthāi,to do; to realize; − to father; − to celebrate (a feast); − to heal (with a ritual) (id.
zenna,"to end, finish; to settle, put an end to; to demolish (Akk.",haranu,to finish.
"laplapi-, laplipi-",eyelash(es),"laplappa-, laplippa-",eyelash (es)
GIŠ(.ḪUR)kurta-,wooden tablet,(GIŠ) tāišt-,"crook, crozier, lituus"
teriyan,at the third time,teriyašeššar,"to strike, hit, strike; to kill, punish."
maršanu-zi,"to desecrate, to profane; to falsify",marša-i,to desecrate; to make treacherous
ištarningai-,"ailment, affliction",erman / armn-,"in the midst, between, among, within"
arsaniya,to envy.,arsanatalla,to let flow.
lāḫḫ-,"military campaign; journey, trip, voyage",laeššar / laešn-,"firm, steady, constant, eternal"
mūgāi,to complain.,tekussāi,to fight; − to topple (a decree).
ḫappu-,"fence, railings, cage (within a pen)",aššuššar / aššušn-,secret (?)
ḫantae-zi,"(trans.) to arrange (together), to prepare, to fix; to determine; (intr.) to get married; (midd.) to get fixed, to fit","tar-tta (ri), tar-tta (ri)","to guarantee, to defend, to take care of, to be watchful"
GIŠpātiyalli-,"leg, foot (of furniture)",pāt-,"of the one on the upper side, on the upper side"
wak(ki)šiye/a-zi,to be lacking,wakk-āri,"to be honoured, to be important; to be difficult, to be an obstacle"
dankuwaḫḫ-i,to make black,danku (wa) nu-zi,to black
lammar / lamn-,"moment, instant",panku-,"hour, hour"
ištappulliye/a-zi,to use as a stopper,šapaši-i / šapaši-,"to stay put, to linger, to be late"
peḫute-zi / peḫut-,"to lead, to bring, to conduct (there)",ūnna-i / ūnni-,"to run, to hurry; to attack"
zalukēšš-zi,to take long,*taluki- / talugai-,to become mighty
šešariye/a-zi,to sieve,šepuriye/a-zi,to be (come) afraid; to show respect (for a deity)
tuhhuessar,smoking resin.,harza,"wave, surge, flood."
tariye/a-zi,to become weary,tari-,"to rage, to be angry"
(GIŠ)paršdu-,"leaf, foliage",(UZU) laurnuzzi-,apple (tree)
LÚḫantantiyala-,repairman (?),(TÚG) remissiye/a-,apprentice
ḫawiyašši-,sheep-like,UDUiyant-,royal status
maršē-zi,to be/become corrupt,šiššiye/a-zi,"to become desecrated, to become profane, to become unholy; to become corrupt, to become deceitful"
maz,cf.,app,"to withstand, resist, resist; to conjure, bewitch (Akk."
